"","X49041_Reb_TAM","X49041_Reb_TC","X49059_Reb_TAM","X49059_Reb_TC","X49827_Reb_TAM","X49827_Reb_TC","X49849_Reb_TAM","X49849_Reb_TC","X49823_EP_TAM","X49823_EP_TC","X49825_EP_TAM","X49825_EP_TC","X49830_EP_TAM","X49830_EP_TC","X49831_EP_TAM","X49831_EP_TC","X49843_EP_TAM","X49843_EP_TC","X49845_EP_TAM","X49845_EP_TC","X54359_Veh_TAM","X54359_Veh_TC","X54363_Veh_TAM","X54363_Veh_TC","X57098_Veh_TAM","X57098_Veh_TC","X57682_Veh_TAM","X57682_Veh_TC","X64247_Veh_TAM","X64247_Veh_TC"
"Cdh10",8,1710,62,1296,2,174,38,1112,4,148,8,70,0,44,0,122,0,40,10,28,1,777,0,400,2,1323,0,2408,7,426
"Sema5a",58,3402,138,648,2,402,92,1690,20,94,16,118,0,80,6,68,8,166,4,46,18,525,3,243,4,828,14,2267,13,710
"Tspyl5",0,122,0,94,2,42,2,96,0,22,2,2,0,22,4,32,0,2,14,22,0,57,2,30,1,155,1,172,10,103
"Pop1",64,92,116,210,54,82,92,256,86,34,100,62,72,18,50,4,60,22,110,36,139,245,237,133,333,481,141,383,119,303
"Fzd6",0,26,0,34,2,8,0,16,6,98,14,136,6,172,0,134,0,18,2,452,1,7,4,124,5,67,2,45,28,114
"Csmd3",214,2050,10,1250,308,572,318,2032,538,72,234,54,620,34,264,70,330,278,274,56,1202,1159,1881,455,3049,1874,2168,2682,532,676
"Trps1",646,1344,786,1612,352,688,452,1802,162,844,138,312,72,134,34,236,82,204,128,296,80,819,131,724,475,1734,838,2910,142,659
"Aard",2,52,8,180,0,68,0,76,0,2,10,10,2,18,0,4,0,20,0,10,0,79,11,90,0,146,0,99,0,172
"Nov",0,130,194,6,8,144,136,56,10,2176,6,5018,6,3286,10,3202,0,690,6,1822,5,27,0,15,22,297,10,83,0,24
"Dscc1",90,136,2,158,20,64,48,340,128,30,164,70,10,2,50,20,164,14,222,10,12,110,128,211,133,245,65,298,79,211
"Trib1",260,970,1952,1970,284,218,532,1102,242,92,174,146,310,22,152,94,206,68,254,94,950,1786,1187,489,453,1625,538,2434,699,1532
"Fam84b",66,80,92,102,44,124,92,300,30,400,4,314,26,56,14,156,28,60,30,1360,2,235,57,155,78,165,78,211,47,374
"Myc",288,1872,2578,2032,630,732,506,1488,60,422,42,986,62,396,50,516,122,584,92,54,1538,1426,2758,1449,4529,6803,2684,2952,1851,2553
"Kcnq3",2,36,2,38,30,16,6,36,30,34,2,4,38,8,2,2,0,12,8,14,8,57,0,8,4,12,4,33,16,6
"Bai1",2,202,6,250,2,100,4,208,0,22,2,24,2,16,0,12,0,52,14,24,1,126,0,99,6,186,3,137,10,144
"4930572J05Rik",26,12,14,30,14,16,16,36,2,38,4,24,10,2,2,6,16,6,6,8,13,6,35,2,4,7,17,8,34,9
"Ly6i",124,0,284,0,138,6,144,2,50,8,30,0,26,0,24,4,16,16,12,0,68,0,74,24,495,12,259,3,18,3
