,x,
615,Sema3d,ZSWIM5
616,Cacna2d1,ZDHHC14
617,Ccdc146,RXRG
618,Lhfpl3,SULF2
619,AI506816,PTPRF
620,Xrcc2,MYLK
621,Dpp6,CASS4
622,Fam59b,SLC35F1
623,Sh3tc1,DPP4
624,Sorcs2,PAK3
625,Nsg1,SCUBE1
626,Fgfbp1,ENPP1
627,Ncapg,IQGAP3
628,3110047P20Rik,FAM109A
629,Rbm47,PHLDB1
630,Lnx1,CALD1
631,Kit,CXCL9
632,C530008M17Rik,NOS1AP
633,Lphn3,LRRTM3
634,Mthfd2l,TGM2
635,Naaa,SOX15
636,Cxcl13,OSGIN1
637,Prkg2,EXO1
638,D930016D06Rik,RGS7
639,Lrrc8b,ENAH
640,Brdt,CENPF
641,Ccdc18,PROX1
642,LOC100642166,NSL1
643,Zfp605,DTL
644,Pole,NEK2
645,Chek2,CD55
646,Srrd,FAM72A
647,Asphd2,LRRN2
648,Sez6l,SYNE1
649,Rnft2,NAV1
650,Fam109a,RMND1
651,Cux2,ASPM
652,Cdk2ap1,RGS18
653,Fam101a,BRINP3
654,Tmem132b,STX11
655,Zfp11,CACNA1E
656,2410018M08Rik,TNR
657,Clip2,F5
658,Srrm3,UCK2
659,Pilra,OLFML2B
660,Mblac1,ADAMTS4
661,Elfn1,PVRL4
662,Amz1,F11R
663,Fscn1,CD244
664,Baiap2l1,VANGL2
665,Zfp498,SLAMF9
666,Mtus2,CADM3
667,Alox5ap,NES
668,Kl,LRRC27
669,Peg10,S100A6
670,Pon3,ANXA9
671,Dync1i1,SCML4
672,Nxph1,ECM1
673,Cttnbp2,AIM1
674,Kcnd2,KLHL32
675,Lrrc4,ADRB1
676,Tspan33,RAB39B
677,Fam40b,CD2
678,Slc13a4,CNR1
679,Dgki,PLXNA3
680,D630045J12Rik,SLC16A4
681,Clec2l,ATXN7L2
682,Tbxas1,SUFU
683,Jazf1,PSRC1
684,Pde1c,FNDC7
685,Gadd45a,VAV3
686,Dnahc6,NTNG1
687,Lrrtm1,COL11A1
688,Lrrtm4,ABCA4
689,Sema4f,BCAR3
690,Fbxo41,CHRNA4
691,H1fx,LRRC8C
692,Kbtbd8,GBP6
693,Chl1,GBP5
694,Cntn4,SLITRK2
695,Lrrn1,BAI3
696,Lhfpl4,MBNL3
697,Hrh1,GSTA4
698,Zfp9,GADD45A
699,C3ar1,DHCR24
700,Cdca3,SLC25A27
701,Kcna1,RUNX2
702,Kcna6,CEP55
703,Rad51ap1,TSHZ2
704,Foxm1,GRIN1
705,Mansc1,ORC1
706,1190002F15Rik,RAB3B
707,Apold1,B4GALT5
708,Emp1,KIF20B
709,Gm8994,BEND5
710,C030030A07Rik,CH25H
711,Rerg,STIL
712,Ptpro,SLC2A6
713,Slco1c1,GBGT1
714,St8sia1,RALGDS
715,Bcat1,KIF2C
716,Rep15,POMT1
717,Tmtc1,CD40
718,Caprin2,DLG5
719,Shisa7,CDC20
720,Zfp583,MATN4
721,Zfp28,TCEAL6
722,Zik1,CENPI
723,Ccdc61,PCDH19
724,Nova2,CDCA8
725,Gpr4,GRIK3
726,Zfp235,PCDH11X
727,Zfp428,DACH2
728,Ceacam1,ZNF711
729,Mia1,PTPRT
730,Spnb4,AGO4
731,1700049G17Rik,H2AFY2
732,Spred3,ZDHHC15
733,2200002D01Rik,HPCA
734,Spint2,PIM1
735,Dpf1,MARCKSL1
736,Gm5113,BAI2
737,Cox7a1,COL16A1
738,Lrfn3,PI16
739,Tyrobp,CXCR3
740,Kctd15,FABP3
741,Lrp3,NKAIN1
742,Tshz3,GSN
743,Zfp619,TRAF1
744,9830147E19Rik,MEGF9
745,Gm5595,PCDH15
746,Lrrc4b,PRKG1
747,Plekha4,FGR
748,Lmtk3,GJB1
749,Kcnc1,GPN2
750,E2f8,UBXN11
751,A230056P14Rik,SLC7A3
752,Oca2,KIF4A
753,D7Ertd715e,ID3
754,Otud7a,PARD3
755,Fam189a1,COL15A1
756,Fanci,GALNT12
757,AI854517,PLA2G5
758,Kif7,F10
759,Zscan2,RND3
760,Mex3b,TMEM82
761,Gm2115,CKS2
762,Grm5,COL4A1
763,Fam181b,SHC3
764,Kctd21,S1PR3
765,Capn5,FAM155A
766,Gm4980,MASTL
767,Dchs1,NUDT11
768,Tub,NUDT10
769,Lmo1,CLCN5
770,Stk33,ID1
771,Trim66,FAM181B
772,Sox6,SHISA7
773,Xylt1,KIAA1217
774,Plk1,GNA14
775,Sult1a1,ANGPTL7
776,Fam57b,ANXA1
777,Zfp689,TMEM2
778,Bcl7c,SLITRK5
779,Fbxl19,SLITRK1
780,9130023H24Rik,ARL5B
781,Ppapdc1a,ZKSCAN4
782,Fam196a,FAM196B
783,Dpysl4,SLC2A5
784,Gpr123,ERRFI1
785,Sprn,TBC1D4
786,Eps8l2,HIST1H3D
787,Ccnd1,DPP6
788,Evi5l,PCDH9
789,BC068157,SLC22A6
790,Shcbp1,GPR153
791,Fam155a,PCDH17
792,Col4a1,GLIPR2
793,Ank1,AHNAK
794,Rnf122,NDP
795,Purg,ITGA8
796,Tex15,GPR34
797,D8Ertd82e,AARD
798,Dlc1,PAK7
799,Odz3,DHRS13
800,Lrrc25,KCTD4
801,Slc5a5,PTCHD1
802,Gtpbp3,AGRN
803,Plvap,CTXN3
804,Tom1,NEDD9
805,Il15,CCDC112
806,Neto2,POSTN
807,Gm2694,KL
808,Tox3,FBXL19
809,Dok4,BCL7C
810,Mmp15,FAM57B
811,Elmo3,HAUS6
812,Il34,FRMPD4
813,Adat1,NFIB
814,Cdh13,IGFBP3
815,Wfdc1,PFKP
816,Crispld2,SDC1
817,Zfp276,SLC8A3
818,Fanca,HR
819,1700054N08Rik,RBM47
820,Gria4,GPNMB
821,Casp12,SACS
822,AK129341,FGFBP1
823,Phxr4,OLIG1
824,Panx1,FSCN1
825,Zfp558,SEMA5A
826,Olfm2,KCNA1
827,Spc24,CHEK2
828,BC018242,KCNQ3
829,B3gat1,RNF180
830,Jam3,FANCA
831,AI414108,DNAH6
832,Opcml,PTPRN2
833,Kirrel3,LRP1B
834,Chek1,LAMA1
835,AW551984,FAM101A
836,Scn3b,HCAR2
837,Tmem136,LILRB4
838,Pvrl1,SAMD4A
839,Abcg4,SH2D2A
840,Phldb1,MYO1B
841,Fxyd6,OSBPL6
842,Dscaml1,WASF1
843,Tagln,PLD4
844,2310030G06Rik,GPR123
845,AI593442,RAB37
846,Lingo1,CD300LB
847,Cspg4,SCN3B
848,Sema7a,CD79B
849,Cd276,CYB561
850,Larp6,ANO4
851,Kif23,STEAP3
852,Paqr5,DENND2C
853,Calml4,PLXNA1
854,Smad6,LONRF2
855,Zwilch,HMMR
856,Megf11,ELMO3
857,Parp16,GPC3
858,Snx22,KIF7
859,Car12,ACTN1
860,Pygo1,ANKLE1
861,Gsta4,DNASE1L3
862,D430036J16Rik,ACYP2
863,Spsb4,EFCAB5
864,Poc1a,ANKRD13B
865,Dock3,TGFB1I1
866,Traip,KIF20A
867,Itga9,ZBTB46
868,Xylb,SLC16A9
869,Kif15,PAQR5
870,Tmem158,SULT1A1
871,Nudt11,TRPS1
872,Nudt10,MTHFD2L
873,Clcn5,ST8SIA1
874,Ppp1r3f,PDE1C
875,Gpr34,MGST1
876,Ndp,SOX6
877,Slc9a7,CCDC125
878,Cfp,AMPD3
879,Fam70a,CD72
880,Gria3,SOX10
881,Zdhhc9,CARD11
882,Rab33a,HRH1
883,6720401G13Rik,CCNF
884,Frmd7,ITIH5
885,Gpc3,SFMBT2
886,Slitrk2,FOXRED2
887,Mamld1,MPST
888,Atp2b3,NOXO1
889,Plxnb3,MYCL
890,Plxna3,CNTN4
891,Rab39b,LYPD1
892,Prrg1,MBLAC1
893,Gspt2,PPAPDC1A
894,Spin4,MPP3
895,Kif4,STK32A
896,Slc7a3,PCDHGB7
897,Nlgn3,COL25A1
898,Gjb1,AIFM3
899,Zdhhc15,MDGA2
900,Rps6ka6,TMEM26
901,Zfp711,ENHO
902,Dach2,RUNX3
903,Pcdh11x,DSCAM
904,Pcdh19,NCAM2
905,Cenpi,RBM11
906,Armcx4,KLHDC7A
907,Armcx6,CCDC18
908,Tceal6,IL18BP
909,Arxes1,HPSE
910,BC065397,ZBTB40
911,Rab9b,AKAP12
912,Pak3,NXPH1
913,Dcx,GAREML
914,Lrch2,DERL3
915,Alas2,TRIM66
916,Kctd12b,PYCR1
917,Ptchd1,SLC22A23
918,Siah1b,FAH
919,Frmpd4,ELFN2
920,Mid1,POP1
921,Rgs20,DNASE1
922,2010300C02Rik,CEBPD
923,Stk17b,LRRTM4
924,Icos,ZC3H12D
925,Adam23,SH3BP4
926,Klf7,ITGA6
927,Fn1,MEGF11
928,Htr2b,PSTPIP2
929,B3gnt7,BRDT
930,Col6a3,RARG
931,Per2,CHEK1
932,Gpc1,NSG1
933,Pam,DCC
934,Ikbke,NPNT
935,Fam72a,TBXAS1
936,5430435G22Rik,SEMA5B
937,Nfasc,DSN1
938,Ptpn7,CLEC2L
939,Rgs18,ATCAY
940,Sell,ZNF692
941,Rxrg,CCDC36
942,Nos1ap,PPIL6
943,Cd244,NLGN1
944,Pydc3,SLC4A10
945,Mndal,LHFPL3
946,Ifi203,FGFR1
947,Ifi205,KIFC1
948,Enah,FAM19A2
949,Capn2,KCNK2
950,Akap12,KCTD15
951,Syne1,CMYA5
952,Lrp11,TMEM51
953,Zc3h12d,MTFR2
954,9130014G24Rik,MAPKAPK3
955,Stx11,GRIK2
956,Fam54a,PERP
957,1700020N01Rik,LRRN3
958,Arg1,IL34
959,Fyn,ARL13A
960,Cd24a,TNF
961,Aim1,CYR61
962,Gp49a,PLAC8
963,Lilrb4,MXD3
964,Aifm2,KBTBD8
965,Tmem26,WEE1
966,Ank3,GRAMD1B
967,Fam13c,SIGIRR
968,Derl3,TENM1
969,Gadd45b,ARMCX4
970,Hcfc2,CCBE1
971,Ascl4,SCHIP1
972,Igf1,CDC45
973,Anks1b,SLC4A8
974,Mir1931,NT5DC2
975,Plxnc1,PRAM1
976,Lyz1,ABTB2
977,Lrig3,ZSCAN2
978,Zbtb39,FIGNL1
979,Mip,BEND3
980,Dusp18,TOM1
981,Acyp2,HJURP
982,Atp10b,MAMLD1
983,Il12b,SESTD1
984,Adam19,GTSE1
985,Cyfip2,ZNF276
986,Gm12185,PUS7L
987,Tgtp1,C4B
988,Ifi47,TGFBI
989,4933439C10Rik,NELL2
990,Nlrp3,STK33
991,Sox15,PLTP
992,Clec10a,DUSP7
